Test,Mean,Std.dev,Count
ScaleVector2D,8.327658,9.310604,67108864
ScaleVector3D,5.048298,5.644169,67108864
MultiplyVector2D,6.473193,7.237250,67108864
MultiplyVector3D,5.390176,6.026401,67108864
TranslateVector2D,6.245099,6.982233,67108864
TranslateVector3D,5.152059,5.760177,67108864
SubtractVector2D,6.960823,7.782437,67108864
SubtractVector3D,5.103940,5.706379,67108864
LengthVector2D,5.348058,5.979310,67108864
LengthVector3D,3.594142,4.018373,134217728
DotProductVector2D,4.163916,4.655400,134217728
DotProductVector2D,4.784045,5.348725,134217728
