Test,Mean,Std.dev,Count
ScaleVector2D,8.854300,9.899409,33554432
ScaleVector3D,5.580723,6.239438,67108864
MultiplyVector2D,5.574915,6.232945,67108864
MultiplyVector3D,5.092800,5.693923,67108864
TranslateVector2D,6.421920,7.179925,67108864
TranslateVector3D,5.043106,5.638364,67108864
SubtractVector2D,6.667289,7.454256,67108864
SubtractVector3D,5.020991,5.613639,67108864
LengthVector2D,4.949742,5.533980,67108864
LengthVector3D,3.588482,4.012045,134217728
DotProductVector2D,4.134384,4.622382,134217728
DotProductVector2D,3.608342,4.034249,134217728
