Test,Mean,Deviation,Count
MapReduce Array,1032.256,471.101,524288
MapReduce Seq,1327.531,605.876,262144
MapReduce Unions,92.729,42.319,4194304
Sestoft Multiply,11.069,5.052,33554432
Primes,4721.361,2154.403,65536
RandomizeArray,3621.401,1652.199,131072
GameOfLife,27601.418,12596.745,16384
InvasionPercolation,21004.434,9585.134,16384
FibonacciRecursive,107.667,49.123,4194304
FibonacciIterative,119.050,54.334,4194304
ScaleVector2D,7.905,3.608,67108864
ScaleVector3D,5.026,2.294,67108864
MultiplyVector2D,6.171,2.814,67108864
MultiplyVector3D,4.985,2.275,67108864
TranslateVector2D,6.419,2.929,67108864
TranslateVector3D,5.017,2.289,67108864
SubtractVector2D,5.911,2.697,67108864
SubtractVector3D,5.041,2.300,67108864
LengthVector2D,4.614,2.105,67108864
LengthVector3D,3.535,1.614,134217728
DotProductVector2D,3.874,1.768,134217728
DotProductVector3D,3.538,1.615,134217728
