Test,Mean,Deviation,Count
MapReduce Array,1024.932,13.612,262144
MapReduce Array,1067.726,56.168,262144
MapReduce Array,1014.008,7.638,262144
MapReduce Array,1009.933,5.666,262144
MapReduce Array,1006.983,8.939,262144
MapReduce Seq,1204.058,12.089,262144
MapReduce Seq,1190.614,3.790,262144
MapReduce Seq,1198.995,12.879,262144
MapReduce Seq,1193.162,7.223,262144
MapReduce Seq,1197.153,13.158,262144
MapReduce Unions,281.430,6.545,1048576
MapReduce Unions,278.606,1.100,1048576
MapReduce Unions,280.025,3.283,1048576
MapReduce Unions,278.342,1.655,1048576
MapReduce Unions,279.437,2.449,1048576
Sestoft Multiply,25.337,0.073,16777216
Sestoft Multiply,25.970,0.118,16777216
Sestoft Multiply,26.062,0.418,16777216
Sestoft Multiply,26.196,0.464,16777216
Sestoft Multiply,26.091,0.256,16777216
Primes,4828.185,91.102,65536
Primes,4789.545,12.776,65536
Primes,4769.418,26.410,65536
Primes,4797.351,44.350,65536
Primes,4784.080,33.395,65536
RandomizeArray,2926.532,26.359,131072
RandomizeArray,2923.712,33.524,131072
RandomizeArray,2912.191,11.882,131072
RandomizeArray,2923.715,24.520,131072
RandomizeArray,2922.234,7.312,131072
GameOfLife,68808.652,409.302,4096
GameOfLife,69403.774,1450.791,4096
GameOfLife,69120.977,339.178,4096
GameOfLife,68734.351,581.746,4096
GameOfLife,69185.923,876.984,4096
InvasionPercolation,23400.906,189.726,16384
InvasionPercolation,23166.407,104.484,16384
InvasionPercolation,23246.636,203.058,16384
InvasionPercolation,23685.072,797.292,16384
InvasionPercolation,23215.316,207.034,16384
FibonacciRecursive,529.299,3.172,524288
FibonacciRecursive,527.683,5.348,524288
FibonacciRecursive,527.009,2.112,524288
FibonacciRecursive,525.575,1.469,524288
FibonacciRecursive,524.536,1.538,524288
FibonacciIterative,692.110,3.065,524288
FibonacciIterative,694.080,4.780,524288
FibonacciIterative,695.181,4.406,524288
FibonacciIterative,691.554,1.987,524288
FibonacciIterative,692.185,1.147,524288
ScaleVector2D,44.562,0.779,8388608
ScaleVector2D,43.977,0.177,8388608
ScaleVector2D,43.904,0.185,8388608
ScaleVector2D,43.994,0.150,8388608
ScaleVector2D,43.984,0.238,8388608
ScaleVector3D,51.633,0.361,8388608
ScaleVector3D,51.647,0.215,8388608
ScaleVector3D,64.081,6.845,4194304
ScaleVector3D,51.779,0.391,8388608
ScaleVector3D,51.535,0.174,8388608
MultiplyVector2D,30.386,0.172,8388608
MultiplyVector2D,30.625,0.648,8388608
MultiplyVector2D,30.397,0.182,8388608
MultiplyVector2D,30.457,0.214,8388608
MultiplyVector2D,30.445,0.205,8388608
MultiplyVector3D,45.952,0.302,8388608
MultiplyVector3D,45.830,0.166,8388608
MultiplyVector3D,45.836,0.140,8388608
MultiplyVector3D,45.988,0.227,8388608
MultiplyVector3D,46.004,0.580,8388608
TranslateVector2D,30.427,0.203,8388608
TranslateVector2D,30.414,0.177,8388608
TranslateVector2D,30.089,0.092,8388608
TranslateVector2D,30.494,0.270,8388608
TranslateVector2D,30.122,0.165,8388608
TranslateVector3D,46.573,0.456,8388608
TranslateVector3D,46.414,0.290,8388608
TranslateVector3D,46.396,0.237,8388608
TranslateVector3D,46.230,0.075,8388608
TranslateVector3D,46.500,0.274,8388608
SubtractVector2D,30.233,0.281,16777216
SubtractVector2D,29.904,0.190,8388608
SubtractVector2D,30.056,0.319,16777216
SubtractVector2D,30.197,0.275,8388608
SubtractVector2D,29.999,0.180,8388608
SubtractVector3D,45.070,0.108,8388608
SubtractVector3D,45.045,0.122,8388608
SubtractVector3D,45.156,0.222,8388608
SubtractVector3D,45.233,0.329,8388608
SubtractVector3D,45.064,0.209,8388608
LengthVector2D,24.265,0.120,16777216
LengthVector2D,24.214,0.109,16777216
LengthVector2D,24.232,0.301,16777216
LengthVector2D,24.358,0.294,16777216
LengthVector2D,24.208,0.198,16777216
LengthVector3D,24.973,0.115,16777216
LengthVector3D,24.912,0.119,16777216
LengthVector3D,24.961,0.156,16777216
LengthVector3D,24.918,0.107,16777216
LengthVector3D,24.897,0.099,16777216
DotProductVector2D,23.738,0.241,16777216
DotProductVector2D,23.543,0.153,16777216
DotProductVector2D,23.569,0.302,16777216
DotProductVector2D,23.448,0.136,16777216
DotProductVector2D,23.191,0.285,16777216
DotProductVector3D,34.327,0.136,8388608
DotProductVector3D,35.060,0.697,8388608
DotProductVector3D,35.031,0.536,8388608
DotProductVector3D,34.419,0.174,8388608
DotProductVector3D,34.285,0.105,8388608
