Test,Mean,Deviation,Count
MapReduce Array,878.114,3.001,524288
MapReduce Array,878.365,4.277,524288
MapReduce Array,883.425,13.016,524288
MapReduce Array,882.043,17.828,524288
MapReduce Array,885.052,13.902,524288
MapReduce Seq,1201.914,15.890,262144
MapReduce Seq,1186.597,1.990,262144
MapReduce Seq,1214.715,19.617,262144
MapReduce Seq,1211.072,10.033,262144
MapReduce Seq,1221.769,20.157,262144
MapReduce Unions,77.993,1.214,4194304
MapReduce Unions,78.052,0.448,4194304
MapReduce Unions,77.105,0.465,4194304
MapReduce Unions,77.287,0.842,4194304
MapReduce Unions,84.184,8.303,4194304
Sestoft Multiply,10.879,0.130,33554432
Sestoft Multiply,10.756,0.087,33554432
Sestoft Multiply,10.724,0.083,33554432
Sestoft Multiply,10.703,0.079,33554432
Sestoft Multiply,10.776,0.227,33554432
Primes,3646.698,36.125,131072
Primes,4784.644,765.349,131072
Primes,4404.627,185.864,65536
Primes,4509.219,405.340,65536
Primes,3612.145,32.185,131072
RandomizeArray,2598.917,25.410,131072
RandomizeArray,2584.947,21.786,131072
RandomizeArray,2568.451,8.066,131072
RandomizeArray,2587.906,23.584,131072
RandomizeArray,2581.496,26.436,131072
GameOfLife,23607.209,345.748,16384
GameOfLife,23308.954,75.010,16384
GameOfLife,23302.052,372.771,16384
GameOfLife,23442.487,121.450,16384
GameOfLife,23354.747,197.808,16384
InvasionPercolation,17451.488,182.249,16384
InvasionPercolation,17521.312,158.248,16384
InvasionPercolation,17462.097,185.593,16384
InvasionPercolation,17605.703,394.963,16384
InvasionPercolation,17305.389,99.563,16384
FibonacciRecursive,93.491,0.939,4194304
FibonacciRecursive,91.438,0.810,4194304
FibonacciRecursive,90.570,0.493,4194304
FibonacciRecursive,91.269,0.856,4194304
FibonacciRecursive,91.771,1.675,4194304
FibonacciIterative,95.982,0.110,4194304
FibonacciIterative,99.511,0.812,4194304
FibonacciIterative,98.969,0.872,4194304
FibonacciIterative,99.675,1.255,4194304
FibonacciIterative,98.773,0.382,4194304
ScaleVector2D,8.214,0.146,33554432
ScaleVector2D,7.949,0.060,33554432
ScaleVector2D,8.121,0.176,33554432
ScaleVector2D,7.938,0.067,33554432
ScaleVector2D,7.935,0.066,33554432
ScaleVector3D,4.940,0.070,67108864
ScaleVector3D,4.534,0.049,67108864
ScaleVector3D,4.583,0.068,67108864
ScaleVector3D,4.582,0.048,67108864
ScaleVector3D,4.573,0.040,67108864
MultiplyVector2D,6.720,0.255,67108864
MultiplyVector2D,6.334,0.025,67108864
MultiplyVector2D,6.290,0.021,67108864
MultiplyVector2D,6.309,0.029,67108864
MultiplyVector2D,6.390,0.034,67108864
MultiplyVector3D,5.258,0.030,67108864
MultiplyVector3D,4.997,0.196,67108864
MultiplyVector3D,4.875,0.011,67108864
MultiplyVector3D,4.935,0.037,67108864
MultiplyVector3D,4.985,0.088,67108864
TranslateVector2D,7.927,0.079,33554432
TranslateVector2D,7.629,0.147,33554432
TranslateVector2D,7.564,0.070,33554432
TranslateVector2D,7.603,0.119,33554432
TranslateVector2D,7.547,0.040,33554432
TranslateVector3D,4.889,0.011,67108864
TranslateVector3D,4.509,0.016,67108864
TranslateVector3D,4.540,0.067,67108864
TranslateVector3D,4.551,0.058,67108864
TranslateVector3D,4.523,0.060,67108864
SubtractVector2D,6.303,0.040,67108864
SubtractVector2D,6.178,0.127,67108864
SubtractVector2D,6.159,0.055,67108864
SubtractVector2D,6.115,0.033,67108864
SubtractVector2D,6.103,0.033,67108864
SubtractVector3D,5.282,0.048,67108864
SubtractVector3D,4.913,0.053,67108864
SubtractVector3D,4.896,0.033,67108864
SubtractVector3D,4.901,0.048,67108864
SubtractVector3D,4.936,0.077,67108864
LengthVector2D,5.113,0.091,67108864
LengthVector2D,5.022,0.060,67108864
LengthVector2D,5.021,0.040,67108864
LengthVector2D,5.032,0.047,67108864
LengthVector2D,5.097,0.132,67108864
LengthVector3D,3.807,0.116,67108864
LengthVector3D,3.758,0.017,67108864
LengthVector3D,3.770,0.029,67108864
LengthVector3D,3.750,0.017,67108864
LengthVector3D,3.834,0.059,67108864
DotProductVector2D,4.164,0.051,67108864
DotProductVector2D,4.557,0.047,67108864
DotProductVector2D,4.158,0.033,67108864
DotProductVector2D,4.523,0.064,67108864
DotProductVector2D,4.139,0.026,67108864
DotProductVector3D,3.763,0.025,67108864
DotProductVector3D,3.771,0.036,67108864
DotProductVector3D,3.757,0.025,67108864
DotProductVector3D,3.801,0.071,67108864
DotProductVector3D,3.784,0.036,67108864
