Test,Mean,Deviation,Count
MapReduce Array,925.621,2.642,524288
MapReduce Array,926.074,7.554,524288
MapReduce Array,927.293,5.223,524288
MapReduce Array,923.837,3.730,524288
MapReduce Array,925.474,9.053,524288
MapReduce Seq,1157.887,2.380,262144
MapReduce Seq,1180.001,35.561,262144
MapReduce Seq,1171.129,13.736,262144
MapReduce Seq,1165.622,6.422,262144
MapReduce Seq,1169.945,11.379,262144
MapReduce Unions,85.352,0.564,4194304
MapReduce Unions,84.937,0.434,4194304
MapReduce Unions,84.840,0.599,4194304
MapReduce Unions,85.406,0.695,4194304
MapReduce Unions,84.857,0.362,4194304
Sestoft Multiply,12.110,0.338,33554432
Sestoft Multiply,11.445,0.080,33554432
Sestoft Multiply,11.470,0.045,33554432
Sestoft Multiply,11.532,0.144,33554432
Sestoft Multiply,11.429,0.045,33554432
Primes,4002.908,24.886,65536
Primes,4004.052,48.431,65536
Primes,3992.810,22.218,65536
Primes,3997.845,27.923,65536
Primes,4006.188,26.964,65536
RandomizeArray,2784.803,8.947,131072
RandomizeArray,2780.833,12.763,131072
RandomizeArray,2777.538,4.319,131072
RandomizeArray,2794.525,29.097,131072
RandomizeArray,2796.558,59.798,131072
GameOfLife,26814.058,135.208,16384
GameOfLife,27197.151,300.535,16384
GameOfLife,27160.031,740.840,16384
GameOfLife,26973.402,168.451,16384
GameOfLife,26881.434,62.015,16384
InvasionPercolation,19281.052,241.710,16384
InvasionPercolation,19302.712,157.687,16384
InvasionPercolation,19139.384,175.023,16384
InvasionPercolation,19176.940,136.061,16384
InvasionPercolation,19122.615,39.717,16384
FibonacciRecursive,98.869,0.882,4194304
FibonacciRecursive,96.954,0.454,4194304
FibonacciRecursive,96.389,0.370,4194304
FibonacciRecursive,97.203,0.627,4194304
FibonacciRecursive,96.723,0.316,4194304
FibonacciIterative,102.347,0.368,4194304
FibonacciIterative,106.046,0.200,4194304
FibonacciIterative,105.557,0.302,4194304
FibonacciIterative,105.846,0.302,4194304
FibonacciIterative,105.101,0.292,4194304
ScaleVector2D,8.671,0.088,33554432
ScaleVector2D,8.606,0.167,33554432
ScaleVector2D,8.522,0.040,33554432
ScaleVector2D,8.564,0.089,33554432
ScaleVector2D,8.535,0.053,33554432
ScaleVector3D,5.237,0.029,67108864
ScaleVector3D,4.853,0.030,67108864
ScaleVector3D,4.839,0.057,67108864
ScaleVector3D,4.854,0.036,67108864
ScaleVector3D,4.931,0.201,67108864
MultiplyVector2D,7.028,0.079,67108864
MultiplyVector2D,6.876,0.145,67108864
MultiplyVector2D,6.712,0.076,67108864
MultiplyVector2D,7.396,0.762,33554432
MultiplyVector2D,6.669,0.020,67108864
MultiplyVector3D,5.648,0.035,67108864
MultiplyVector3D,5.267,0.034,67108864
MultiplyVector3D,5.228,0.024,67108864
MultiplyVector3D,5.270,0.049,67108864
MultiplyVector3D,5.248,0.032,67108864
TranslateVector2D,8.458,0.024,33554432
TranslateVector2D,8.083,0.061,33554432
TranslateVector2D,8.021,0.036,33554432
TranslateVector2D,8.200,0.116,33554432
TranslateVector2D,8.054,0.058,33554432
TranslateVector3D,5.238,0.016,67108864
TranslateVector3D,4.927,0.229,67108864
TranslateVector3D,4.839,0.022,67108864
TranslateVector3D,4.836,0.007,67108864
TranslateVector3D,4.868,0.114,67108864
SubtractVector2D,6.702,0.026,67108864
SubtractVector2D,6.553,0.050,67108864
SubtractVector2D,6.560,0.067,67108864
SubtractVector2D,6.529,0.027,67108864
SubtractVector2D,6.536,0.024,67108864
SubtractVector3D,5.691,0.039,67108864
SubtractVector3D,5.234,0.022,67108864
SubtractVector3D,5.228,0.022,67108864
SubtractVector3D,5.275,0.084,67108864
SubtractVector3D,5.227,0.029,67108864
LengthVector2D,5.426,0.021,67108864
LengthVector2D,5.416,0.011,67108864
LengthVector2D,5.422,0.034,67108864
LengthVector2D,5.448,0.044,67108864
LengthVector2D,5.416,0.034,67108864
LengthVector3D,4.040,0.013,67108864
LengthVector3D,4.014,0.030,67108864
LengthVector3D,4.026,0.012,67108864
LengthVector3D,4.036,0.031,67108864
LengthVector3D,4.043,0.022,67108864
DotProductVector2D,4.834,0.034,67108864
DotProductVector2D,4.435,0.029,67108864
DotProductVector2D,4.858,0.020,67108864
DotProductVector2D,4.706,0.029,67108864
DotProductVector2D,4.854,0.054,67108864
DotProductVector3D,4.016,0.012,67108864
DotProductVector3D,4.039,0.054,67108864
DotProductVector3D,4.004,0.010,67108864
DotProductVector3D,4.002,0.014,67108864
DotProductVector3D,4.005,0.026,67108864
