Test,Mean,Deviation,Count
Sestoft Multiply,11.051,5.044,33554432
Primes,4659.266,2125.879,65536
RandomizeArray,3556.935,1623.486,131072
GameOfLife,38820.981,17718.718,8192
InvasionPercolation,75969.746,34669.738,4096
FibonacciRecursive,108.146,49.344,4194304
FibonacciIterative,116.090,52.964,4194304
ScaleVector2D,7.806,3.563,67108864
ScaleVector3D,5.025,2.293,67108864
MultiplyVector2D,6.091,2.779,67108864
MultiplyVector3D,5.016,2.289,67108864
TranslateVector2D,6.360,2.902,67108864
TranslateVector3D,4.975,2.270,67108864
SubtractVector2D,5.910,2.697,67108864
SubtractVector3D,5.013,2.287,67108864
LengthVector2D,4.529,2.067,67108864
LengthVector3D,3.531,1.611,134217728
DotProductVector2D,4.070,1.858,134217728
DotProductVector3D,3.533,1.612,134217728
