Test,Mean,Deviation,Count
Primes,5609.488,2559.334,65536
ArrayRandomFill,3993.823,1822.855,131072
GameOfLife,47285.325,21559.761,8192
FibonacciRec,120.885,55.165,4194304
FibonacciIter,128.736,58.716,4194304
ScaleVector2D,9.031,4.121,33554432
ScaleVector3D,6.660,3.039,67108864
MultiplyVector2D,7.228,3.298,67108864
MultiplyVector3D,5.586,2.549,67108864
TranslateVector2D,7.166,3.270,67108864
TranslateVector3D,5.601,2.555,67108864
SubtractVector2D,7.221,3.296,67108864
SubtractVector3D,5.570,2.542,67108864
LengthVector2D,5.082,2.319,67108864
LengthVector3D,3.827,1.747,134217728
DotProductVector2D,4.301,1.963,134217728
DotProductVector3D,3.797,1.733,134217728
